user_email,role,page_viewed,card_interacted,view_date,session_duration_seconds
analyst.ent@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-01,408
analyst.ent@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-01,581
kristen.martino@company.com,finance_admin,Market Intelligence,Compression Trend,2026-03-02,487
kristen.martino@company.com,finance_admin,Market Intelligence,Compression Drivers,2026-03-02,487
analyst.derm@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-02,73
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-02,405
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-02,405
analyst.gastro@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-02,231
analyst.gastro@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-02,231
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-02,600
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-02,600
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-02,230
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-02,230
analyst.ophtho@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-02,70
analyst.ophtho@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-02,70
analyst.ophtho@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-02,70
analyst.ent@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-02,558
analyst.ent@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-02,558
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-02,372
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-02,372
sales.northeast@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-02,213
sales.northeast@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-02,213
sales.northeast@company.com,regional_sales,Market Intelligence,Pressure Index Ranking,2026-03-02,213
kristen.martino@company.com,finance_admin,Procedure Detail,Metric Comparison,2026-03-03,128
ceo@company.com,executive,Market Intelligence,Compression Drivers,2026-03-03,416
analyst.derm@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-03,536
analyst.derm@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-03,536
analyst.derm@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-03,536
analyst.gastro@company.com,specialty_analyst,Pipeline Intelligence,Territory Alignment,2026-03-03,360
analyst.gastro@company.com,specialty_analyst,Pipeline Intelligence,Market-Validated Pipeline,2026-03-03,360
analyst.gastro@company.com,specialty_analyst,Pipeline Intelligence,Pipeline by Specialty,2026-03-03,360
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-03,556
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-03,492
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-03,492
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-03,492
analyst.ophtho@company.com,specialty_analyst,Adoption Tracking,Most Viewed Cards,2026-03-03,80
analyst.ophtho@company.com,specialty_analyst,Adoption Tracking,Weekly Active Users,2026-03-03,80
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-03,410
analyst.ent@company.com,specialty_analyst,Pipeline Intelligence,Territory Alignment,2026-03-03,445
analyst.ent@company.com,specialty_analyst,Pipeline Intelligence,Market-Validated Pipeline,2026-03-03,445
analyst.ent@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-03,138
analyst.ent@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-03,138
analyst.ent@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-03,138
analyst.ent@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-03,508
analyst.ent@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-03,508
analyst.ent@company.com,specialty_analyst,Market Intelligence,Pressure Index Ranking,2026-03-03,508
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-03,440
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-03,440
sales.west@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-03,358
sales.west@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-03,358
kristen.martino@company.com,finance_admin,Adoption Tracking,Most Viewed Cards,2026-03-04,583
kristen.martino@company.com,finance_admin,Adoption Tracking,Active vs Provisioned,2026-03-04,583
kristen.martino@company.com,finance_admin,Market Intelligence,Compression Trend,2026-03-04,556
kristen.martino@company.com,finance_admin,Market Intelligence,Compression Drivers,2026-03-04,556
kristen.martino@company.com,finance_admin,Market Intelligence,Territory Map,2026-03-04,556
ceo@company.com,executive,Pipeline Intelligence,Pipeline by Specialty,2026-03-04,318
ceo@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-04,318
ceo@company.com,executive,Market Intelligence,Pressure Index Ranking,2026-03-04,541
ceo@company.com,executive,Market Intelligence,Volume vs Compression,2026-03-04,541
ceo@company.com,executive,Market Intelligence,Compression Trend,2026-03-04,541
analyst.derm@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-04,470
analyst.derm@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-04,470
analyst.gastro@company.com,specialty_analyst,Adoption Tracking,Most Viewed Cards,2026-03-04,74
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-04,211
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-04,211
analyst.ortho@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-04,340
analyst.ortho@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-04,340
analyst.ortho@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-04,381
analyst.ortho@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-04,381
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-04,513
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-04,513
analyst.ent@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-04,81
analyst.ent@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-04,81
analyst.ent@company.com,specialty_analyst,Market Intelligence,Pressure Index Ranking,2026-03-04,528
analyst.ent@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-04,528
analyst.ent@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-04,528
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-04,205
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-04,205
sales.northeast@company.com,regional_sales,Procedure Detail,Outlier Procedures,2026-03-04,316
sales.northeast@company.com,regional_sales,Procedure Detail,Payment vs Benchmark,2026-03-04,316
sales.northeast@company.com,regional_sales,Procedure Detail,Metric Comparison,2026-03-04,316
sales.northeast@company.com,regional_sales,PDP Governance,Verify Checks,2026-03-04,247
sales.southeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-04,265
sales.southeast@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-04,265
sales.southeast@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-04,424
sales.southeast@company.com,regional_sales,Market Intelligence,Pressure Index Ranking,2026-03-04,424
sales.southwest@company.com,regional_sales,Market Intelligence,Compression Drivers,2026-03-04,291
sales.southwest@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-04,291
sales.southwest@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-04,291
kristen.martino@company.com,finance_admin,Adoption Tracking,Active vs Provisioned,2026-03-05,228
kristen.martino@company.com,finance_admin,Adoption Tracking,Most Viewed Cards,2026-03-05,228
kristen.martino@company.com,finance_admin,Adoption Tracking,Weekly Active Users,2026-03-05,228
kristen.martino@company.com,finance_admin,Procedure Detail,Facility Mix Trend,2026-03-05,460
kristen.martino@company.com,finance_admin,PDP Governance,Verify Checks,2026-03-05,560
kristen.martino@company.com,finance_admin,PDP Governance,Access Matrix,2026-03-05,560
ceo@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-05,229
ceo@company.com,executive,Pipeline Intelligence,Territory Alignment,2026-03-05,229
ceo@company.com,executive,Market Intelligence,Compression Drivers,2026-03-05,342
ceo@company.com,executive,Market Intelligence,Compression Trend,2026-03-05,342
vp.sales@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-05,530
vp.sales@company.com,executive,Pipeline Intelligence,Territory Alignment,2026-03-05,530
vp.sales@company.com,executive,Pipeline Intelligence,Pipeline by Specialty,2026-03-05,530
vp.sales@company.com,executive,Adoption Tracking,Weekly Active Users,2026-03-05,547
vp.sales@company.com,executive,Adoption Tracking,Most Viewed Cards,2026-03-05,547
vp.sales@company.com,executive,Adoption Tracking,Active vs Provisioned,2026-03-05,547
vp.sales@company.com,executive,Market Intelligence,Compression Drivers,2026-03-05,292
analyst.derm@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-05,361
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-05,163
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-05,163
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-05,163
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-05,366
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-05,255
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-05,255
analyst.ent@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-05,552
analyst.ent@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-05,593
sales.southwest@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-05,283
sales.southwest@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-05,283
sales.southwest@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-05,283
sales.southwest@company.com,regional_sales,PDP Governance,Verify Checks,2026-03-05,375
sales.southwest@company.com,regional_sales,PDP Governance,Role Distribution,2026-03-05,375
sales.southwest@company.com,regional_sales,PDP Governance,Access Matrix,2026-03-05,375
sales.west@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-05,224
ceo@company.com,executive,Adoption Tracking,Most Viewed Cards,2026-03-06,413
ceo@company.com,executive,Adoption Tracking,Weekly Active Users,2026-03-06,413
